"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"2005","Estonia","Not seasonally adjusted data","Less than 25 years","Females","13.8",""
"2005","Estonia","Not seasonally adjusted data","From 25 to 74 years","Total","7.2",""
"2005","Estonia","Not seasonally adjusted data","From 25 to 74 years","Males","8.2",""
"2005","Estonia","Not seasonally adjusted data","From 25 to 74 years","Females","6.2",""
"2005","Ireland","Not seasonally adjusted data","Total","Total","4.4",""
"2005","Ireland","Not seasonally adjusted data","Total","Males","4.6",""
"2005","Ireland","Not seasonally adjusted data","Total","Females","4.1",""
"2005","Ireland","Not seasonally adjusted data","Less than 25 years","Total","8.7",""
"2005","Ireland","Not seasonally adjusted data","Less than 25 years","Males","9.2",""
"2005","Ireland","Not seasonally adjusted data","Less than 25 years","Females","8.0",""
"2005","Ireland","Not seasonally adjusted data","From 25 to 74 years","Total","3.6",""
"2005","Ireland","Not seasonally adjusted data","From 25 to 74 years","Males","3.8",""
"2005","Ireland","Not seasonally adjusted data","From 25 to 74 years","Females","3.3",""
"2005","Greece","Not seasonally adjusted data","Total","Total","10.0",""
"2005","Greece","Not seasonally adjusted data","Total","Males","6.2",""
"2005","Greece","Not seasonally adjusted data","Total","Females","15.4",""
"2005","Greece","Not seasonally adjusted data","Less than 25 years","Total","25.8",""
"2005","Greece","Not seasonally adjusted data","Less than 25 years","Males","18.9",""
"2005","Greece","Not seasonally adjusted data","Less than 25 years","Females","34.2",""
"2005","Greece","Not seasonally adjusted data","From 25 to 74 years","Total","8.4",""
"2005","Greece","Not seasonally adjusted data","From 25 to 74 years","Males","5.0",""
"2005","Greece","Not seasonally adjusted data","From 25 to 74 years","Females","13.3",""
"2005","Spain","Not seasonally adjusted data","Total","Total","9.2",""
"2005","Spain","Not seasonally adjusted data","Total","Males","7.1",""
"2005","Spain","Not seasonally adjusted data","Total","Females","12.0",""
"2005","Spain","Not seasonally adjusted data","Less than 25 years","Total","19.6",""
"2005","Spain","Not seasonally adjusted data","Less than 25 years","Males","16.7",""
"2005","Spain","Not seasonally adjusted data","Less than 25 years","Females","23.4",""
"2005","Spain","Not seasonally adjusted data","From 25 to 74 years","Total","7.7",""
"2005","Spain","Not seasonally adjusted data","From 25 to 74 years","Males","5.9",""
"2005","Spain","Not seasonally adjusted data","From 25 to 74 years","Females","10.4",""
"2005","France","Not seasonally adjusted data","Total","Total","8.9",""
"2005","France","Not seasonally adjusted data","Total","Males","8.1",""
"2005","France","Not seasonally adjusted data","Total","Females","9.7",""
"2005","France","Not seasonally adjusted data","Less than 25 years","Total","21.0",""
"2005","France","Not seasonally adjusted data","Less than 25 years","Males","20.1",""
"2005","France","Not seasonally adjusted data","Less than 25 years","Females","22.0",""
"2005","France","Not seasonally adjusted data","From 25 to 74 years","Total","7.4",""
"2005","France","Not seasonally adjusted data","From 25 to 74 years","Males","6.7",""
"2005","France","Not seasonally adjusted data","From 25 to 74 years","Females","8.3",""
"2005","Croatia","Not seasonally adjusted data","Total","Total","13.0",""
"2005","Croatia","Not seasonally adjusted data","Total","Males","11.8",""
"2005","Croatia","Not seasonally adjusted data","Total","Females","14.4",""
"2005","Croatia","Not seasonally adjusted data","Less than 25 years","Total","31.9",""
"2005","Croatia","Not seasonally adjusted data","Less than 25 years","Males","29.6",""
"2005","Croatia","Not seasonally adjusted data","Less than 25 years","Females","35.0",""
"2005","Croatia","Not seasonally adjusted data","From 25 to 74 years","Total","10.5",""
"2005","Croatia","Not seasonally adjusted data","From 25 to 74 years","Males","9.4",""
"2005","Croatia","Not seasonally adjusted data","From 25 to 74 years","Females","11.9",""
"2005","Italy","Not seasonally adjusted data","Total","Total","7.7",""
"2005","Italy","Not seasonally adjusted data","Total","Males","6.2",""
"2005","Italy","Not seasonally adjusted data","Total","Females","10.0",""
"2005","Italy","Not seasonally adjusted data","Less than 25 years","Total","24.1",""
"2005","Italy","Not seasonally adjusted data","Less than 25 years","Males","21.6",""
"2005","Italy","Not seasonally adjusted data","Less than 25 years","Females","27.6",""
"2005","Italy","Not seasonally adjusted data","From 25 to 74 years","Total","6.2",""
"2005","Italy","Not seasonally adjusted data","From 25 to 74 years","Males","4.8",""
"2005","Italy","Not seasonally adjusted data","From 25 to 74 years","Females","8.4",""
"2005","Cyprus","Not seasonally adjusted data","Total","Total","5.3",""
"2005","Cyprus","Not seasonally adjusted data","Total","Males","4.4",""
"2005","Cyprus","Not seasonally adjusted data","Total","Females","6.5",""
"2005","Cyprus","Not seasonally adjusted data","Less than 25 years","Total","13.9",""
"2005","Cyprus","Not seasonally adjusted data","Less than 25 years","Males","13.2",""
"2005","Cyprus","Not seasonally adjusted data","Less than 25 years","Females","14.7",""
"2005","Cyprus","Not seasonally adjusted data","From 25 to 74 years","Total","4.3",""
"2005","Cyprus","Not seasonally adjusted data","From 25 to 74 years","Males","3.4",""
"2005","Cyprus","Not seasonally adjusted data","From 25 to 74 years","Females","5.4",""
"2005","Latvia","Not seasonally adjusted data","Total","Total","10.0",""
"2005","Latvia","Not seasonally adjusted data","Total","Males","10.1",""
"2005","Latvia","Not seasonally adjusted data","Total","Females","10.0",""
"2005","Latvia","Not seasonally adjusted data","Less than 25 years","Total","15.1",""
"2005","Latvia","Not seasonally adjusted data","Less than 25 years","Males","12.8",""
"2005","Latvia","Not seasonally adjusted data","Less than 25 years","Females","18.4",""
"2005","Latvia","Not seasonally adjusted data","From 25 to 74 years","Total","9.3",""
"2005","Latvia","Not seasonally adjusted data","From 25 to 74 years","Males","9.7",""
"2005","Latvia","Not seasonally adjusted data","From 25 to 74 years","Females","9.0",""
"2005","Lithuania","Not seasonally adjusted data","Total","Total","8.3",""
"2005","Lithuania","Not seasonally adjusted data","Total","Males","8.1",""
"2005","Lithuania","Not seasonally adjusted data","Total","Females","8.5",""
"2005","Lithuania","Not seasonally adjusted data","Less than 25 years","Total","15.8",""
"2005","Lithuania","Not seasonally adjusted data","Less than 25 years","Males","16.0",""
"2005","Lithuania","Not seasonally adjusted data","Less than 25 years","Females","15.5",""
"2005","Lithuania","Not seasonally adjusted data","From 25 to 74 years","Total","7.7",""
"2005","Lithuania","Not seasonally adjusted data","From 25 to 74 years","Males","7.3",""
"2005","Lithuania","Not seasonally adjusted data","From 25 to 74 years","Females","8.1",""
"2005","Luxembourg","Not seasonally adjusted data","Total","Total","4.6",""
"2005","Luxembourg","Not seasonally adjusted data","Total","Males","3.6",""
"2005","Luxembourg","Not seasonally adjusted data","Total","Females","6.1",""
"2005","Luxembourg","Not seasonally adjusted data","Less than 25 years","Total","14.6",""
"2005","Luxembourg","Not seasonally adjusted data","Less than 25 years","Males","12.6",""
"2005","Luxembourg","Not seasonally adjusted data","Less than 25 years","Females","17.2",""
"2005","Luxembourg","Not seasonally adjusted data","From 25 to 74 years","Total","3.8",""
"2005","Luxembourg","Not seasonally adjusted data","From 25 to 74 years","Males","2.9",""
"2005","Luxembourg","Not seasonally adjusted data","From 25 to 74 years","Females","5.1",""
"2005","Hungary","Not seasonally adjusted data","Total","Total","7.2",""
"2005","Hungary","Not seasonally adjusted data","Total","Males","7.0",""
"2005","Hungary","Not seasonally adjusted data","Total","Females","7.4",""
"2005","Hungary","Not seasonally adjusted data","Less than 25 years","Total","19.4",""
"2005","Hungary","Not seasonally adjusted data","Less than 25 years","Males","19.6",""
"2005","Hungary","Not seasonally adjusted data","Less than 25 years","Females","19.1",""
"2005","Hungary","Not seasonally adjusted data","From 25 to 74 years","Total","6.1",""
"2005","Hungary","Not seasonally adjusted data","From 25 to 74 years","Males","5.8",""
"2005","Hungary","Not seasonally adjusted data","From 25 to 74 years","Females","6.4",""
"2005","Malta","Not seasonally adjusted data","Total","Total","6.9",""
"2005","Malta","Not seasonally adjusted data","Total","Males","6.3",""
"2005","Malta","Not seasonally adjusted data","Total","Females","8.4",""
"2005","Malta","Not seasonally adjusted data","Less than 25 years","Total","16.1",""
"2005","Malta","Not seasonally adjusted data","Less than 25 years","Males","16.2",""
"2005","Malta","Not seasonally adjusted data","Less than 25 years","Females","16.0",""
"2005","Malta","Not seasonally adjusted data","From 25 to 74 years","Total","4.7",""
"2005","Malta","Not seasonally adjusted data","From 25 to 74 years","Males","4.5",""
"2005","Malta","Not seasonally adjusted data","From 25 to 74 years","Females","5.2",""
"2005","Netherlands","Not seasonally adjusted data","Total","Total","5.9",""
"2005","Netherlands","Not seasonally adjusted data","Total","Males","5.0",""
"2005","Netherlands","Not seasonally adjusted data","Total","Females","6.9",""
"2005","Netherlands","Not seasonally adjusted data","Less than 25 years","Total","11.8",""
"2005","Netherlands","Not seasonally adjusted data","Less than 25 years","Males","12.7",""
"2005","Netherlands","Not seasonally adjusted data","Less than 25 years","Females","11.0",""
"2005","Netherlands","Not seasonally adjusted data","From 25 to 74 years","Total","4.8",""
"2005","Netherlands","Not seasonally adjusted data","From 25 to 74 years","Males","3.8",""
"2005","Netherlands","Not seasonally adjusted data","From 25 to 74 years","Females","6.1",""
"2005","Austria","Not seasonally adjusted data","Total","Total","5.6",""
"2005","Austria","Not seasonally adjusted data","Total","Males","5.4",""
"2005","Austria","Not seasonally adjusted data","Total","Females","5.9",""
"2005","Austria","Not seasonally adjusted data","Less than 25 years","Total","11.0",""
"2005","Austria","Not seasonally adjusted data","Less than 25 years","Males","11.6",""
"2005","Austria","Not seasonally adjusted data","Less than 25 years","Females","10.3",""
"2005","Austria","Not seasonally adjusted data","From 25 to 74 years","Total","4.7",""
"2005","Austria","Not seasonally adjusted data","From 25 to 74 years","Males","4.4",""
"2005","Austria","Not seasonally adjusted data","From 25 to 74 years","Females","5.1",""
"2005","Poland","Not seasonally adjusted data","Total","Total","17.9",""
"2005","Poland","Not seasonally adjusted data","Total","Males","16.7",""
"2005","Poland","Not seasonally adjusted data","Total","Females","19.4",""
"2005","Poland","Not seasonally adjusted data","Less than 25 years","Total","36.9",""
"2005","Poland","Not seasonally adjusted data","Less than 25 years","Males","35.8",""
"2005","Poland","Not seasonally adjusted data","Less than 25 years","Females","38.4",""
"2005","Poland","Not seasonally adjusted data","From 25 to 74 years","Total","15.2",""
"2005","Poland","Not seasonally adjusted data","From 25 to 74 years","Males","13.9",""
"2005","Poland","Not seasonally adjusted data","From 25 to 74 years","Females","16.8",""
"2005","Portugal","Not seasonally adjusted data","Total","Total","8.8","e"
"2005","Portugal","Not seasonally adjusted data","Total","Males","8.7","e"
"2005","Portugal","Not seasonally adjusted data","Total","Females","8.8","e"
"2005","Portugal","Not seasonally adjusted data","Less than 25 years","Total","20.8","e"
"2005","Portugal","Not seasonally adjusted data","Less than 25 years","Males","18.7","e"
"2005","Portugal","Not seasonally adjusted data","Less than 25 years","Females","23.5","e"
"2005","Portugal","Not seasonally adjusted data","From 25 to 74 years","Total","7.3","e"
"2005","Portugal","Not seasonally adjusted data","From 25 to 74 years","Males","7.5","e"
"2005","Portugal","Not seasonally adjusted data","From 25 to 74 years","Females","7.1","e"
"2005","Romania","Not seasonally adjusted data","Total","Total","7.1",""
"2005","Romania","Not seasonally adjusted data","Total","Males","7.7",""
"2005","Romania","Not seasonally adjusted data","Total","Females","6.4",""
"2005","Romania","Not seasonally adjusted data","Less than 25 years","Total","19.1",""
"2005","Romania","Not seasonally adjusted data","Less than 25 years","Males","19.9",""
"2005","Romania","Not seasonally adjusted data","Less than 25 years","Females","17.8",""
"2005","Romania","Not seasonally adjusted data","From 25 to 74 years","Total","5.6",""
"2005","Romania","Not seasonally adjusted data","From 25 to 74 years","Males","6.0",""
"2005","Romania","Not seasonally adjusted data","From 25 to 74 years","Females","5.0",""
"2005","Slovenia","Not seasonally adjusted data","Total","Total","6.5",""
"2005","Slovenia","Not seasonally adjusted data","Total","Males","6.1",""
"2005","Slovenia","Not seasonally adjusted data","Total","Females","7.1",""
"2005","Slovenia","Not seasonally adjusted data","Less than 25 years","Total","15.9",""
"2005","Slovenia","Not seasonally adjusted data","Less than 25 years","Males","14.5",""
"2005","Slovenia","Not seasonally adjusted data","Less than 25 years","Females","17.8",""
"2005","Slovenia","Not seasonally adjusted data","From 25 to 74 years","Total","5.4",""
"2005","Slovenia","Not seasonally adjusted data","From 25 to 74 years","Males","5.0",""
"2005","Slovenia","Not seasonally adjusted data","From 25 to 74 years","Females","5.9",""
"2005","Slovakia","Not seasonally adjusted data","Total","Total","16.4",""
"2005","Slovakia","Not seasonally adjusted data","Total","Males","15.6",""
"2005","Slovakia","Not seasonally adjusted data","Total","Females","17.4",""
"2005","Slovakia","Not seasonally adjusted data","Less than 25 years","Total","30.4",""
"2005","Slovakia","Not seasonally adjusted data","Less than 25 years","Males","31.2",""
"2005","Slovakia","Not seasonally adjusted data","Less than 25 years","Females","29.4",""
"2005","Slovakia","Not seasonally adjusted data","From 25 to 74 years","Total","14.4",""
"2005","Slovakia","Not seasonally adjusted data","From 25 to 74 years","Males","13.4",""
"2005","Slovakia","Not seasonally adjusted data","From 25 to 74 years","Females","15.7",""
"2005","Finland","Not seasonally adjusted data","Total","Total","8.4",""
"2005","Finland","Not seasonally adjusted data","Total","Males","8.2",""
"2005","Finland","Not seasonally adjusted data","Total","Females","8.6",""
"2005","Finland","Not seasonally adjusted data","Less than 25 years","Total","20.1",""
"2005","Finland","Not seasonally adjusted data","Less than 25 years","Males","20.6",""
"2005","Finland","Not seasonally adjusted data","Less than 25 years","Females","19.5",""
"2005","Finland","Not seasonally adjusted data","From 25 to 74 years","Total","6.8",""
"2005","Finland","Not seasonally adjusted data","From 25 to 74 years","Males","6.5",""
"2005","Finland","Not seasonally adjusted data","From 25 to 74 years","Females","7.0",""
"2005","Sweden","Not seasonally adjusted data","Total","Total","7.7",""
"2005","Sweden","Not seasonally adjusted data","Total","Males","7.7",""
"2005","Sweden","Not seasonally adjusted data","Total","Females","7.6",""
"2005","Sweden","Not seasonally adjusted data","Less than 25 years","Total","22.6",""
"2005","Sweden","Not seasonally adjusted data","Less than 25 years","Males","22.6",""
"2005","Sweden","Not seasonally adjusted data","Less than 25 years","Females","22.5",""
"2005","Sweden","Not seasonally adjusted data","From 25 to 74 years","Total","5.7",""
"2005","Sweden","Not seasonally adjusted data","From 25 to 74 years","Males","5.8",""
"2005","Sweden","Not seasonally adjusted data","From 25 to 74 years","Females","5.5",""
"2005","United Kingdom","Not seasonally adjusted data","Total","Total","4.8",""
"2005","United Kingdom","Not seasonally adjusted data","Total","Males","5.2",""
"2005","United Kingdom","Not seasonally adjusted data","Total","Females","4.3",""
"2005","United Kingdom","Not seasonally adjusted data","Less than 25 years","Total","12.8",""
"2005","United Kingdom","Not seasonally adjusted data","Less than 25 years","Males","14.3",""
"2005","United Kingdom","Not seasonally adjusted data","Less than 25 years","Females","11.0",""
"2005","United Kingdom","Not seasonally adjusted data","From 25 to 74 years","Total","3.3",""
"2005","United Kingdom","Not seasonally adjusted data","From 25 to 74 years","Males","3.6",""
"2005","United Kingdom","Not seasonally adjusted data","From 25 to 74 years","Females","3.1",""
"2005","Iceland","Not seasonally adjusted data","Total","Total","2.6",""
"2005","Iceland","Not seasonally adjusted data","Total","Males","2.6",""
"2005","Iceland","Not seasonally adjusted data","Total","Females","2.6",""
"2005","Iceland","Not seasonally adjusted data","Less than 25 years","Total","7.2",""
"2005","Iceland","Not seasonally adjusted data","Less than 25 years","Males","8.5",""
"2005","Iceland","Not seasonally adjusted data","Less than 25 years","Females","5.9",""
"2005","Iceland","Not seasonally adjusted data","From 25 to 74 years","Total","1.6",""
"2005","Iceland","Not seasonally adjusted data","From 25 to 74 years","Males","1.5",""
"2005","Iceland","Not seasonally adjusted data","From 25 to 74 years","Females","1.8",""
"2005","Norway","Not seasonally adjusted data","Total","Total","4.5",""
"2005","Norway","Not seasonally adjusted data","Total","Males","4.7",""
"2005","Norway","Not seasonally adjusted data","Total","Females","4.3",""
"2005","Norway","Not seasonally adjusted data","Less than 25 years","Total","11.4",""
"2005","Norway","Not seasonally adjusted data","Less than 25 years","Males","12.0",""
"2005","Norway","Not seasonally adjusted data","Less than 25 years","Females","10.9",""
"2005","Norway","Not seasonally adjusted data","From 25 to 74 years","Total","3.4",""
"2005","Norway","Not seasonally adjusted data","From 25 to 74 years","Males","3.6",""
"2005","Norway","Not seasonally adjusted data","From 25 to 74 years","Females","3.3",""
"2005","Turkey","Not seasonally adjusted data","Total","Total","9.5",""
"2005","Turkey","Not seasonally adjusted data","Total","Males",":",""
"2005","Turkey","Not seasonally adjusted data","Total","Females",":",""
"2005","Turkey","Not seasonally adjusted data","Less than 25 years","Total","17.5",""
"2005","Turkey","Not seasonally adjusted data","Less than 25 years","Males",":",""
"2005","Turkey","Not seasonally adjusted data","Less than 25 years","Females",":",""
"2005","Turkey","Not seasonally adjusted data","From 25 to 74 years","Total","7.5",""
"2005","Turkey","Not seasonally adjusted data","From 25 to 74 years","Males",":",""
"2005","Turkey","Not seasonally adjusted data","From 25 to 74 years","Females",":",""
"2005","United States","Not seasonally adjusted data","Total","Total","5.1",""
"2005","United States","Not seasonally adjusted data","Total","Males","5.1",""
"2005","United States","Not seasonally adjusted data","Total","Females","5.1",""
"2005","United States","Not seasonally adjusted data","Less than 25 years","Total","11.3",""
"2005","United States","Not seasonally adjusted data","Less than 25 years","Males","12.4",""
"2005","United States","Not seasonally adjusted data","Less than 25 years","Females","10.1",""
"2005","United States","Not seasonally adjusted data","From 25 to 74 years","Total","4.0",""
"2005","United States","Not seasonally adjusted data","From 25 to 74 years","Males","3.8",""
"2005","United States","Not seasonally adjusted data","From 25 to 74 years","Females","4.2",""
"2005","Japan","Not seasonally adjusted data","Total","Total","4.4",""
"2005","Japan","Not seasonally adjusted data","Total","Males","4.6",""
"2005","Japan","Not seasonally adjusted data","Total","Females","4.2",""
"2005","Japan","Not seasonally adjusted data","Less than 25 years","Total","8.7",""
"2005","Japan","Not seasonally adjusted data","Less than 25 years","Males","9.9",""
"2005","Japan","Not seasonally adjusted data","Less than 25 years","Females","7.4",""
"2005","Japan","Not seasonally adjusted data","From 25 to 74 years","Total","4.0",""
"2005","Japan","Not seasonally adjusted data","From 25 to 74 years","Males","4.1",""
"2005","Japan","Not seasonally adjusted data","From 25 to 74 years","Females","3.8",""
"2006","Belgium","Not seasonally adjusted data","Total","Total","8.3",""
"2006","Belgium","Not seasonally adjusted data","Total","Males","7.4",""
"2006","Belgium","Not seasonally adjusted data","Total","Females","9.3",""
"2006","Belgium","Not seasonally adjusted data","Less than 25 years","Total","20.5",""
"2006","Belgium","Not seasonally adjusted data","Less than 25 years","Males","18.8",""
"2006","Belgium","Not seasonally adjusted data","Less than 25 years","Females","22.6",""
"2006","Belgium","Not seasonally adjusted data","From 25 to 74 years","Total","7.0",""
"2006","Belgium","Not seasonally adjusted data","From 25 to 74 years","Males","6.2",""
"2006","Belgium","Not seasonally adjusted data","From 25 to 74 years","Females","7.9",""
"2006","Bulgaria","Not seasonally adjusted data","Total","Total","9.0",""
"2006","Bulgaria","Not seasonally adjusted data","Total","Males","8.6",""
"2006","Bulgaria","Not seasonally adjusted data","Total","Females","9.4",""
"2006","Bulgaria","Not seasonally adjusted data","Less than 25 years","Total","18.3",""
"2006","Bulgaria","Not seasonally adjusted data","Less than 25 years","Males","17.7",""
"2006","Bulgaria","Not seasonally adjusted data","Less than 25 years","Females","18.9",""
"2006","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Total","8.1",""
"2006","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Males","7.7",""
"2006","Bulgaria","Not seasonally adjusted data","From 25 to 74 years","Females","8.5",""
"2006","Czech Republic","Not seasonally adjusted data","Total","Total","7.1",""
"2006","Czech Republic","Not seasonally adjusted data","Total","Males","5.8",""
"2006","Czech Republic","Not seasonally adjusted data","Total","Females","8.8",""
"2006","Czech Republic","Not seasonally adjusted data","Less than 25 years","Total","17.5",""
"2006","Czech Republic","Not seasonally adjusted data","Less than 25 years","Males","16.6",""
"2006","Czech Republic","Not seasonally adjusted data","Less than 25 years","Females","18.7",""
"2006","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Total","6.2",""
"2006","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Males","4.8",""
"2006","Czech Republic","Not seasonally adjusted data","From 25 to 74 years","Females","7.9",""
"2006","Denmark","Not seasonally adjusted data","Total","Total","3.9","i"
"2006","Denmark","Not seasonally adjusted data","Total","Males","3.3","i"
"2006","Denmark","Not seasonally adjusted data","Total","Females","4.5","i"
"2006","Denmark","Not seasonally adjusted data","Less than 25 years","Total","7.7","i"
"2006","Denmark","Not seasonally adjusted data","Less than 25 years","Males",":",""
"2006","Denmark","Not seasonally adjusted data","Less than 25 years","Females",":",""
"2006","Denmark","Not seasonally adjusted data","From 25 to 74 years","Total","3.2","i"
"2006","Denmark","Not seasonally adjusted data","From 25 to 74 years","Males",":",""
"2006","Denmark","Not seasonally adjusted data","From 25 to 74 years","Females",":",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","10.1",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Males","10.2",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Females","10.1",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Total","13.6",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Males","14.6",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Less than 25 years","Females","12.5",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Total","9.7",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Males","9.6",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","From 25 to 74 years","Females","9.8",""
"2006","Estonia","Not seasonally adjusted data","Total","Total","5.9",""
"2006","Estonia","Not seasonally adjusted data","Total","Males","6.2",""
"2006","Estonia","Not seasonally adjusted data","Total","Females","5.6",""
"2006","Estonia","Not seasonally adjusted data","Less than 25 years","Total","12.1",""
"2006","Estonia","Not seasonally adjusted data","Less than 25 years","Males","10.0",""
"2006","Estonia","Not seasonally adjusted data","Less than 25 years","Females","15.1",""
"2006","Estonia","Not seasonally adjusted data","From 25 to 74 years","Total","5.2",""
"2006","Estonia","Not seasonally adjusted data","From 25 to 74 years","Males","5.7",""
"2006","Estonia","Not seasonally adjusted data","From 25 to 74 years","Females","4.7",""
"2006","Ireland","Not seasonally adjusted data","Total","Total","4.5",""
"2006","Ireland","Not seasonally adjusted data","Total","Males","4.7",""
"2006","Ireland","Not seasonally adjusted data","Total","Females","4.3",""
"2006","Ireland","Not seasonally adjusted data","Less than 25 years","Total","8.7",""
"2006","Ireland","Not seasonally adjusted data","Less than 25 years","Males","9.0",""
"2006","Ireland","Not seasonally adjusted data","Less than 25 years","Females","8.3",""
"2006","Ireland","Not seasonally adjusted data","From 25 to 74 years","Total","3.7",""
"2006","Ireland","Not seasonally adjusted data","From 25 to 74 years","Males","3.9",""
"2006","Ireland","Not seasonally adjusted data","From 25 to 74 years","Females","3.4",""
"2006","Greece","Not seasonally adjusted data","Total","Total","9.0",""
"2006","Greece","Not seasonally adjusted data","Total","Males","5.7",""
"2006","Greece","Not seasonally adjusted data","Total","Females","13.8",""
"2006","Greece","Not seasonally adjusted data","Less than 25 years","Total","25.0",""
"2006","Greece","Not seasonally adjusted data","Less than 25 years","Males","17.6",""
"2006","Greece","Not seasonally adjusted data","Less than 25 years","Females","34.2",""
"2006","Greece","Not seasonally adjusted data","From 25 to 74 years","Total","7.5",""
"2006","Greece","Not seasonally adjusted data","From 25 to 74 years","Males","4.7",""
"2006","Greece","Not seasonally adjusted data","From 25 to 74 years","Females","11.7",""
